Graphlet,Modularity,ARI,NMI
G0,0.38067061143984227,0.5684394071490847,0.5646068790944768
G1,0.3314044121655727,0.5088640840446487,0.6000111158695007
G2,0.4009328436202935,0.40644878262776946,0.5004834071264006
G3,0.2582844760377539,0.4430074528715477,0.4867186409379047
G4,0.3272549650375707,0.7092352877189163,0.7053379866600118
G5,0.29337691365298413,0.5719844357976654,0.4949434044789266
G6,0.35629269231968924,0.7092352877189163,0.7053379866600118
G7,0.42117968967902636,0.40709903593339153,0.4926225859994569
G8,0.43188048245614064,0.48307591192901744,0.592526998048449
